FID,ADDRESS,CITY,STATE,ZIP,COUNTY,LATITUDE,LONGITUDE
150,200 WEST TYLER AVENUE,WEST MEMPHIS,AR,72301,CRITTENDEN,35.14311024,-90.18909851
151,638 CALIFORNIA AVENUE,CAMDEN,AR,71701,OUACHITA,33.57582113,-92.83673933
152,620 NORTH WILLOW,HARRISON,AR,72601,BOONE,36.23653136,-93.10913937
153,"2106 EAST MAIN STREET, HIGHWAY 14 EAST",MOUNTAIN VIEW,AR,72560,STONE,35.85658313,-92.08286453
154,1206 GORDON DUCKWORTH DRIVE,PIGGOTT,AR,72454,CLAY,36.39011947,-90.20483796
155,1800 BYPASS ROAD,HEBER SPRINGS,AR,72543,CLEBURNE,35.48856958,-92.05798114
156,4 HOSPITAL DRIVE,MORRILTON,AR,72110,CONWAY,35.16801491,-92.72135132
157,4301 WEST MARKHAM STREET,LITTLE ROCK,AR,72205,PULASKI,34.74902515,-92.32013731
158,3333 SPRINGHILL DRIVE,LITTLE ROCK,AR,72117,PULASKI,34.78365489,-92.22340916
159,1601 MURPHY DRIVE,MAUMELLE,AR,72113,PULASKI,34.87643567,-92.39441325
160,300 PROSPECT AVENUE,HOT SPRINGS,AR,71901,GARLAND,34.50989707,-93.05757749
161,105 RESERVE STREET,HOT SPRINGS,AR,71901,GARLAND,34.51212501,-93.05260787
162,300 WERNER STREET,HOT SPRINGS,AR,71913,GARLAND,34.46802567,-93.06627041
163,1001 SCHNEIDER DRIVE,MALVERN,AR,72104,HOT SPRING,34.35877404,-92.7858884
164,7500 CORRECTIONS CIRCLE,PINE BLUFF,AR,71603,JEFFERSON,34.22219143,-92.08268605
165,1600 WEST 40TH AVENUE,PINE BLUFF,AR,71603,JEFFERSON,34.18773469,-92.0176802
166,153 EAST MONTE PAINTER DRIVE,FAYETTEVILLE,AR,72703,WASHINGTON,36.10909938,-94.15484504
167,4700 WATERS AVENUE,SAVANNAH,GA,31404,CHATHAM,32.03053088,-81.08886242
168,4253 CROSSOVER ROAD,FAYETTEVILLE,AR,72703,WASHINGTON,36.12789076,-94.11985143
169,4301 GREATHOUSE SPRINGS ROAD,SPRINGDALE,AR,72762,WASHINGTON,36.13551027,-94.18621922
170,1506 S ONEIDA ST,APPLETON,WI,54915,OUTAGAMIE,44.24825124,-88.40250968
171,311 NORTH MORROW STREET,MENA,AR,71953,POLK,34.5890536,-94.22163124
172,880 WEST MAIN STREET,BOONEVILLE,AR,72927,LOGAN,35.14032192,-93.93517063
173,500 EAST ACADEMY,PARIS,AR,72855,LOGAN,35.28929334,-93.72487855
174,310 SOUTH FALLS BOULEVARD,WYNNE,AR,72396,CROSS,35.21955792,-90.78664054
175,9601 BAPTIST HEALTH DRIVE,LITTLE ROCK,AR,72205,PULASKI,34.74429608,-92.38181609
176,2301 NORTH LAKE DRIVE,MILWAUKEE,WI,53211,MILWAUKEE,43.06145544,-87.88038438
177,4455 SOUTH I-19 FRONTAGE RD,GREEN VALLEY,AZ,85622,PIMA,31.80657111,-111.0100185
178,1703 NORTH BUERKLE ROAD,STUTTGART,AR,72160,ARKANSAS,34.5175108,-91.55829954
179,187 WOLFORD AVENUE,LIBERTY,KY,42539,CASEY,37.31771681,-84.93317191
180,60 MERCY COURT,IRVINE,KY,40336,ESTILL,37.706197100000004,-83.97727714
181,5000 KENTUCKY ROUTE 321,PRESTONSBURG,KY,41653,FLOYD,37.72901006,-82.76732008
182,4001 DUTCHMANS LANE,LOUISVILLE,KY,40207,JEFFERSON,38.23533009,-85.63293693
183,1850 BLUEGRASS AVENUE,LOUISVILLE,KY,40215,JEFFERSON,38.17826438,-85.79391641
184,1405 BROWNS LANE,LOUISVILLE,KY,40207,JEFFERSON,38.23569663,-85.62734095
185,1025 NEW MOODY LANE,LAGRANGE,KY,40031,OLDHAM,38.39489019,-85.37606515
186,107 LINCOLN STREET,WORCESTER,MA,1605,WORCESTER,42.27641208,-71.79491979
187,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,42.5047,-71.2744
188,24 MORRILL PLACE,AMESBURY,MA,1913,ESSEX,42.848414399999996,-70.93338025
189,ONE DEACONESS RD,BOSTON,MA,2215,SUFFOLK,42.3379,-71.1092
190,49 ROBINWOOD AVENUE,BOSTON,MA,2130,SUFFOLK,42.31581841,-71.11227314
191,298 WASHINGTON STREET,GLOUCESTER,MA,1930,ESSEX,42.6255,-70.6806
192,111 HUNTOON MEMORIAL HIGHWAY,LEICESTER,MA,1542,WORCESTER,42.20189928,-71.89882734
193,309 BELMONT STREET,WORCESTER,MA,1604,WORCESTER,42.27966719,-71.76906694
194,20 HARTFORD STREET,HOULTON,ME,4730,AROOSTOOK,46.13384624,-67.84362347
