lat,lon,percent_fair_or_poor_health,average_number_of_physically_unhealthy_days,percent_smokers,percent_adults_with_obesity,food_environment_index,percent_physically_inactive,percent_excessive_drinking,teen_birth_rate,percent_uninsured,Is_Medical_Desert
36.51111008,-117.410742,14.57614857,3.6499720719999997,11.83384737,27.7,7.5,26.5,19.71901434,29.43748178,8.962298549,No
35.34286892,-118.7299274,22.52031905,4.34753827,15.31417715,32.3,7.7,22.4,18.29198312,39.10408502,8.599279101,No
36.07535521,-119.8155527,21.44558932,4.376671676,14.27052113,29.4,7.8,23.7,20.66593478,35.70318021,9.004126016,No
39.099622100000005,-122.75320320000002,18.04353192,4.18788659,14.40120094,25.1,7.0,23.1,18.75564037,33.10074881,9.244419004,No
40.6735944,-120.5943287,15.20446073,3.779807402,13.71878706,40.9,7.5,36.9,23.872978,25.82956259,4.771642808999999,No
34.35892237,-118.21704869999999,16.41866935,3.550137942,10.84767811,21.7,8.5,16.4,18.86232279,19.18861173,10.05948502,No
37.21798434,-119.76268799999998,22.54828299,4.272740038999999,13.44428413,35.8,7.7,28.0,19.55587506,36.14047051,10.38586454,No
38.07386608,-122.7240858,10.57673869,3.0318081439999998,9.725233761,16.6,8.8,12.6,20.298128600000002,6.345590627999999,5.413194912000001,No
37.58151325,-119.90543799999999,13.71595676,3.6017066539999996,11.74526322,23.8,7.5,20.7,18.76973049,23.10344828,7.995264403999999,No
39.44023217,-123.39148600000001,16.50722914,3.945349305,12.90541382,32.1,7.6,18.6,18.97486116,26.98174255,10.72739553,No
37.19189532,-120.7176666,22.70947494,4.336099493,14.12960646,28.4,7.6,21.8,18.61168181,30.96358051,8.747123782000001,No
41.58985266,-120.72495990000002,16.44623385,3.9804193660000005,13.82445839,28.3,6.8,25.3,17.67777063,21.88054406,10.53047048,No
37.93909205,-118.8868544,13.81194252,3.4868539989999996,11.93671818,25.4,7.4,17.5,22.5441579,20.04811548,9.979018045,No
36.21716427,-121.2392169,21.68177363,4.077667394,12.2499909,27.7,8.6,19.8,19.16487141,30.75438529,11.46941315,No
38.50649013,-122.3305314,14.12167196,3.29337288,9.932847973,23.8,9.0,18.5,20.17622332,14.14535795,8.537529017,No
39.30137435,-120.7684634,11.94355137,3.459817332,11.50829657,22.0,7.8,14.4,20.82297497,11.57300783,7.049940498,No
33.70297871,-117.7610909,13.90237777,3.1337398210000003,9.311197445,19.4,8.9,15.2,19.9251247,13.80500908,8.336575929,No
39.06346828,-120.7175605,10.64040164,3.113200912,9.784620717000001,20.8,8.5,15.2,19.61832741,7.997867235,4.271677815,No
40.00463851,-120.8385499,13.76108882,3.6760540510000004,11.48955561,26.9,7.6,23.5,19.34856664,16.63005962,6.904315197000001,No
33.74365424,-115.9938274,17.05947574,3.833661194,12.49994432,27.1,8.3,20.7,20.43944116,20.66483457,8.932023958,No
38.44931828,-121.344255,15.80089097,3.79223684,11.55002855,28.9,7.6,18.7,19.95329848,19.62833345,6.415937179,No
36.60568774,-121.0749746,17.45997289,3.633376157,10.78318527,32.3,9.4,28.2,20.73269584,19.23710389,8.105177038999999,No
